name|translation|question|answer
25October_2010_Monday_tagesschau-15|das tief über italien sorgt dafür dass es an den alpen in der nacht noch schneit oder regnet|Wann sorgt das Tief über Italien dafür, dass es in den Alpen schneit oder regnet?|Es sorgt dafür in der Nacht.
25October_2010_Monday_tagesschau-16|gleichzeitig weitet sich das hoch über der britannie weiter nach osten aus und beschert uns morgen in weiten teilen deutschlands ruhiges teilweise auch freundliches wetter|Was passiert morgen in weiten Teilen Deutschlands laut dem Satz?|Morgens wird ruhiges, teilweise auch freundliches Wetter erwartet.
25October_2010_Monday_tagesschau-18|am tag eine mischung aus sonne wolken und nebel im osten und südosten sowie an der nordsee einzelne schauer gegen abend werden im nordwesten die wolken dichter|Was wird gegen Abend im Nordwesten beobachtet?|Gegen Abend werden im Nordwesten die Wolken dichter.
25October_2010_Monday_tagesschau-19|im norden und osten weht der wind schwach bis mäßig sonst meist nur schwach am abend frischt er im nordwesten auf|Was passiert mit dem Wind am Abend im Nordwesten?|Am Abend frischt der Wind im Nordwesten auf.
25October_2010_Monday_tagesschau-20|in der nacht sechs grad an der nordsee und minus sechs grad im allgäu|Wie hoch ist die Temperatur in der Nacht an der Nordsee?|Sechs Grad.
25October_2010_Monday_tagesschau-21|am tag drei grad im berchtesgadener land und elf grad am niederrhein|Wie viel Grad sind am Tag im Berchtesgadener Land und am Niederrhein?|Im Berchtesgadener Land sind es drei Grad und am Niederrhein elf Grad.
25October_2010_Monday_tagesschau-23|richtung südosten wolken nebel teilweise auch sonne|Was zeigen die Wetterbedingungen in der Richtung Südosten zu unterschiedlichen Zeiten?|Zu unterschiedlichen Zeiten gibt es Wolken, Nebel und teilweise auch Sonne.
05May_2011_Thursday_tagesschau-26|das hoch das morgen über dem östlichen mitteleuropa liegt bestimmt bis mindestens sonntag unser wetter mit viel sonne und steigenden temperaturen|Wie lange beeinflusst das Hoch unser Wetter?|Bis mindestens Sonntag.
05May_2011_Thursday_tagesschau-27|die trockenheit dauert damit an nur im westen und südwesten sind am sonntag schauer möglich|Wo sind am Sonntag Schauer möglich?|Im Westen und Südwesten.
05May_2011_Thursday_tagesschau-28|heute nacht ist es verbreitet klar nur ein paar dünne schleierwolken ziehen über den norden und die mitte ostwärts|Was wird heute Nacht sein?|Es wird verbreitet klar sein.
05May_2011_Thursday_tagesschau-29|am tag viel sonne hier und da ein paar dünne schleierwolken am nachmittag bilden sich über den südwestlichen mittelgebirgen und den alpen ein paar quellwolken|Was passiert am Nachmittag in Bezug auf die Wolkenbildung?|Am Nachmittag bilden sich Quellwolken über den südwestlichen Mittelgebirgen und den Alpen.
05May_2011_Thursday_tagesschau-30|der wind weht meist schwach mitunter auch mal mäßig|Wie weht der Wind normalerweise?|Der Wind weht meist schwach.
05May_2011_Thursday_tagesschau-31|heute nacht sieben grad in aachen und minus zwei grad in den alpentälern|Wie viel Grad wird es heute Nacht in Aachen?|Sieben Grad.
05May_2011_Thursday_tagesschau-32|am tag fünfzehn grad auf rügen und fünfundzwanzig grad am oberrhein|Wie viel Grad sind am Tag auf Rügen und am Oberrhein?|Auf Rügen sind es fünfzehn Grad und am Oberrhein fünfundzwanzig Grad.
05May_2011_Thursday_tagesschau-33|sonnenscheinreiches wetter am samstag auch am sonntag in weiten teilen deutschlands viel sonne|An welchen Tagen wird sonnenscheinreiches Wetter erwartet?|Am Samstag und am Sonntag.
05May_2011_Thursday_tagesschau-34|im westen und südwesten ist es teilweise wolkiger vereinzelt gibt es schauer oder gewitter|Was wird im Westen und Südwesten erwartet?|Teilweise wolkiges Wetter, vereinzelt Schauer oder Gewitter.
05May_2011_Thursday_tagesschau-35|auch am montag scheint meist die sonne am ehesten kann im äußersten westen vereinzelt mit schauern gerechnet werden|Wann scheint die Sonne laut dem Satz am ehesten?|Am Montag.
15December_2010_Wednesday_tagesschau-38|starke winde sorgen zudem für schneeverwehungen es bestehen entsprechende unwetterwarnungen des deutschen wetterdienstes|Warum gibt es unwetterwarnungen des deutschen wetterdienstes?|Wegen starker Winde und Schneeverwehungen.
15December_2010_Wednesday_tagesschau-39|heute nacht schneit es zunächst vor allem im süden aber gegen morgen ziehen von nordwesten neuer schnee und auch regen heran und sorgen für gefährliche glätte|Was wird heute Nacht im Süden passieren?|Heute Nacht schneit es zunächst vor allem im Süden.
15December_2010_Wednesday_tagesschau-41|im nordwesten und westen gibt es vorübergehend auch gefrierenden regen|Wo gibt es vorübergehend gefrierenden Regen?|Im Nordwesten und Westen.
15December_2010_Wednesday_tagesschau-42|im südosten bleibt es bis zum abend teilweise freundlich und meist trocken|Wie lange bleibt es im Südosten freundlich und trocken?|Bis zum Abend.
15December_2010_Wednesday_tagesschau-44|heute nacht besonders im osten und süden strenger frost an der nordsee plus ein grad|Was wird heute Nacht in bestimmten Regionen Deutschlands erwartet?|Strenger Frost wird besonders im Osten und Süden erwartet.
15December_2010_Wednesday_tagesschau-45|dort morgen plus vier am alpenrand bis minus sieben grad|Welche Temperatur wird morgen am Alpenrand erwartet?|Morgens wird eine Temperatur von minus sieben Grad erwartet.
15December_2010_Wednesday_tagesschau-46|am freitag im osten und am alpenrand noch schnee sonst zum teil freundlich und meist trocken|Was wird am Freitag im Osten und am Alpenrand erwartet?|Es wird noch Schnee erwartet.
15December_2010_Wednesday_tagesschau-47|auch am samstag teilweise freundlich|Wie wird das Wetter am Samstag beschrieben?|Am Samstag wird es teilweise freundlich beschrieben.
15December_2010_Wednesday_tagesschau-48|gegen abend zieht von westen wieder schnee heran der sich am sonntag weiter ausbreitet|Wann wird der Schnee sich weiter ausbreiten?|Am Sonntag.
10March_2011_Thursday_heute-49|guten abend liebe zuschauer|Wann wird 'guten abend' gesagt?|Es wird am Abend gesagt.
10March_2011_Thursday_heute-50|das stürmische wetter ist morgen wieder vorbei und dann kann am wochenende der frühling langsam so ein zartes grün in diese braungrauen landschaften bringen|Wann wird das stürmische Wetter vorbei sein?|Morgen.
10March_2011_Thursday_heute-52|heute nacht wird es allerdings noch regnen und zwar in der mitte und im norden deutschlands|Wann wird es noch regnen?|Heute Nacht.
10March_2011_Thursday_heute-53|und morgen früh gibt es sogar schneeregen an der nordseeküste ist es kalt genug so wenig über null grad sind es|Was wird morgen früh an der Nordseeküste erwartet?|Morgen früh wird es schneeregen an der Nordseeküste erwartet.
10March_2011_Thursday_heute-54|und auch tagsüber haben wir diese unterschiede in der temperatur denn im süden wird es wieder mild mit zehn bis vierzehn grad während es an den küsten deutlich kühler bleibt|Wann wird es im Süden mild mit Temperaturen zwischen zehn und vierzehn Grad?|Tagsüber.
10March_2011_Thursday_heute-55|aber dort scheint auch mal wieder die sonne wenn es auch am vormittag noch ein paar regenschauer gibt und es ist vor allen dingen noch windig|Wann scheint die Sonne dort trotz der Regenschauer?|Die Sonne scheint dort am Nachmittag.
10March_2011_Thursday_heute-56|stürmische böen gibt es aus westen bis zum nachmittag dann flaut der wind ab|Wann wird der Wind abflauen?|Der Wind flaute bis zum Nachmittag ab.
10March_2011_Thursday_heute-57|in der mitte deutschlands da ist es trüb anfangs regnet es noch und im süden haben wir auch sonniges wetter und der wind ist auch nur schwach|Was passiert anfangs im Norden Deutschlands?|Anfänglich regnet es noch und es ist trüb.
10March_2011_Thursday_heute-59|am sonntag dann auch an den küsten langsam wärmer aber erste regenschauer gibt es wohl im nordwesten|Wann wird es an den Küsten langsam wärmer?|Am Sonntag.
10March_2011_Thursday_heute-60|ihnen einen schönen abend und machen sie es gut|Was wird ihnen gewünscht?|Ein schöner Abend.
14August_2009_Friday_tagesschau-61|und nun die wettervorhersage für morgen samstag den fünfzehnten august|Wann ist die Wettervorhersage für?|Für morgen, Samstag den fünfzehnten August.
14August_2009_Friday_tagesschau-64|der norden wird allerdings von den wolken eines tiefs bei schottland gestreift|Wo werden die Wolken eines Tiefs gestreift?|Im Norden, bei Schottland.
14August_2009_Friday_tagesschau-65|und in küstennähe halten sich heute noch wolken die vor allem richtung dänemark regen bringen|Welche Wolken sind heute in Küstennähe zu finden?|Wolken, die vor allem Richtung Dänemark Regen bringen.
14August_2009_Friday_tagesschau-66|hier und da bilden sich einzelne nebelfelder|Wann bilden sich die einzelnen Nebelfelder?|Hier und da bilden sie sich.
14August_2009_Friday_tagesschau-67|im äußersten norden kann es morgen noch etwas regnen|Wann kann es im äußersten Norden noch etwas regnen?|Morgen.
14August_2009_Friday_tagesschau-68|über den alpen sind einzelne schauer oder gewitter möglich|Wann sind über den Alpen einzelne Schauer oder Gewitter möglich?|Einzelne Schauer oder Gewitter sind heute möglich.
14August_2009_Friday_tagesschau-69|sonst scheint verbreitet die sonne|Wann scheint die Sonne sonst verbreitet?|Die Sonne scheint sonst verbreitet während des Tages.
14August_2009_Friday_tagesschau-76|auch montag und dienstag noch leicht wechselhaft und nicht mehr ganz so warm|Wie wird das Wetter am Montag und Dienstag sein?|Es wird leicht wechselhaft und nicht mehr ganz so warm sein.
15June_2010_Tuesday_tagesschau-77|und nun die wettervorhersage für morgen mittwoch den sechzehnten juni|Für welchen Tag ist die Wettervorhersage?|Für morgen, Mittwoch, den sechzehnten Juni.
15June_2010_Tuesday_tagesschau-78|hoher luftdruck zwischen azoren und baltikum bestimmt weiterhin im norden und in der mitte deutschlands das wetter|Welche Region wird vom hohen Luftdruck zwischen Azoren und Baltikum beeinflusst?|Der Norden und die Mitte Deutschlands.
15June_2010_Tuesday_tagesschau-79|das tief das vom mittelmeer zu den alten zieht sorgt im süden für regenfälle|Was sorgt im Süden für Regenfälle?|Das Tief, das vom Mittelmeer zu den Alpengipfeln zieht.
15June_2010_Tuesday_tagesschau-80|die nacht verläuft meist klar im süden liegen die wolken dichter beieinander stellenweise regnet es|Wie verläuft die Nacht im Süden?|Die Nacht verläuft meist klar, aber die Wolken liegen dichter beieinander und stellenweise regnet es.
15June_2010_Tuesday_tagesschau-81|am tag muss vor allem zwischen schwarzwald im bayrischem wald mit regen gerechnet werden der kräftig sein kann|Wann muss mit kräftigem Regen zwischen dem Schwarzwald und dem Bayerischen Wald gerechnet werden?|Am Tag.
15June_2010_Tuesday_tagesschau-82|in der nordhälfte neben lockeren wolken viel sonne|Was beschreibt die Wetterlage in der Nordhälfte zu diesem Zeitpunkt?|Es gibt viel Sonne neben lockeren Wolken.
15June_2010_Tuesday_tagesschau-83|im nordosten weht der wind schwach bis mäßig richtung südwesten teilweise frischer bis starker wind mit einzelnen stürmischen böen in den hochlagen auch sturmböen|Wie ist der Wind im Nordosten zur aktuellen Zeit?|Der Wind weht schwach bis mäßig Richtung Südwesten, mit teilweise frischem bis starkem Wind und stürmischen Böen in den Hochlagen.
15June_2010_Tuesday_tagesschau-84|heute nacht fünfzehn grad im breisgau und bis fünf grad im norden|Wie hoch wird die Temperatur heute Nacht im Breisgau sein?|Fünfzehn Grad.
15June_2010_Tuesday_tagesschau-85|am tag sechzehn grad an der ostsee und dort wo es länger regnet sonst bis dreiundzwanzig grad|Wie hoch ist die Temperatur am Tag an der Ostsee?|Am Tag sind es sechzehn Grad an der Ostsee.
15June_2010_Tuesday_tagesschau-86|am donnerstag regnet es auch in der mitte im süden außerdem teilweise kräftige gewitter|Wann regnet es im Süden?|Am Donnerstag.
15June_2010_Tuesday_tagesschau-87|im norden zeigt sich gebietsweise die sonne|Wo zeigt sich die Sonne?|Im Norden zeigt sich die Sonne.
15June_2010_Tuesday_tagesschau-88|auch am freitag ist es im norden zum teil freundlich sonst mehr wolken als sonne teilweise gewittrige regenfälle|Wie ist das Wetter im Norden am Freitag?|Am Freitag ist es im Norden zum Teil freundlich, sonst mehr Wolken als Sonne mit teilweise gewittrigen Regenfällen.
15June_2010_Tuesday_tagesschau-89|am samstag insgesamt wechselhaftes wetter|Was für ein Wetter ist am Samstag zu erwarten?|Am Samstag ist wechselhaftes Wetter zu erwarten.
26January_2010_Tuesday_heute-90|liebe zuschauer guten abend|Wann wünschen die Zuschauer einen guten Abend?|Am Abend.
26January_2010_Tuesday_heute-91|im norden gab es heute viel sonne aber es war auch ziemlich eisig|Wann gab es im Norden viel Sonne?|Heute.
26January_2010_Tuesday_heute-92|auf diesem bild von berlin meint man die kälte förmlich zu spüren|Was kann man auf dem Bild von Berlin spüren?|Man meint, die Kälte zu spüren.
26January_2010_Tuesday_heute-93|morgen kommt dann kräftig bewegung ins wetter mit einem tief das uns kräftige schneefälle bringen wird und stürmischem wind|Was wird morgen im Wetter passieren?|Morgen wird kräftige Bewegung ins Wetter kommen, mit starken Schneefällen und stürmischem Wind.
26January_2010_Tuesday_heute-94|und das wird uns bis donnerstag beschäftigen|Bis wann wird uns das beschäftigen?|Bis Donnerstag.
26January_2010_Tuesday_heute-95|heute nacht wird es aber erst mal kräftig kalt also wer nicht raus muss sollte zu hause bleiben|Was passiert heute Nacht mit der Temperatur?|Es wird kräftig kalt.
26January_2010_Tuesday_heute-96|es klart verbreitet auf minus fünfundzwanzig grad können im osten erreicht werden im westen zum teil auch bis minus einundzwanzig grad|Welche Temperaturen können im Osten erreicht werden?|Im Osten können bis minus fünfundzwanzig Grad erreicht werden.
26January_2010_Tuesday_heute-99|erste schneeflocken fallen morgen vormittag bereits an der ostsee|Wann fallen die ersten Schneeflocken an der Ostsee?|Morgen Vormittag.
26January_2010_Tuesday_heute-100|nachmittags breiten sich die schneefälle weiter richtung nördliche mittelgebirge aus|Wann breiten sich die Schneefälle weiter aus?|Nachmittags.
26January_2010_Tuesday_heute-101|im nordwesten kann eisregen oder regen dabei sein mit gefährlicher straßenglätte|Was kann im Nordwesten für gefährliche Straßenverhältnisse sorgen?|Eisregen oder Regen kann für gefährliche Straßenverhältnisse sorgen.
26January_2010_Tuesday_heute-104|im süden wie gesagt bleibt es trocken und die temperaturen die liegen morgen so zwischen minus neun und an der küste auch durchaus bis plus vier grad|Welche Temperaturen werden morgen im Süden erwartet?|Morgen liegen die Temperaturen im Süden zwischen minus neun und plus vier Grad an der Küste.
07May_2011_Saturday_tagesschau-108|und nun die wettervorhersage für morgen sonntag den achten mai|An welchem Tag bezieht sich die Wettervorhersage?|Auf morgen, Sonntag, den achten Mai.
07May_2011_Saturday_tagesschau-109|auch morgen bestimmt das hoch über skandinavien das wetter in weiten teilen deutschlands|Wann bestimmt das Hoch über Skandinavien das Wetter in Deutschland?|Morgen.
07May_2011_Saturday_tagesschau-110|tiefs über den balkan und dem atlantik lenken wolken in ein paar regionen für schauer reicht es aber nur vereinzelt|In welchen Regionen wird es in der nahen Zukunft Schauer geben?|In ein paar Regionen, aber nur vereinzelt.
07May_2011_Saturday_tagesschau-111|heute nacht ist es klar über die westhälfte ziehen hier und da dünne schleierwolken|Was passiert heute Nacht über der Westhälfte?|Es ziehen hier und da dünne Schleierwolken.
07May_2011_Saturday_tagesschau-112|am tag morgen dann wieder viel sonne ganz im westen und südwesten ist es zum teil wolkig schauer oder gewitter gibt es aber nur vereinzelt|Was wird morgen tagsüber im Westen und Südwesten erwartet?|Viel Sonne, aber auch teilweise Wolken und vereinzelt Schauer oder Gewitter.
07May_2011_Saturday_tagesschau-114|der wind weht schwach bis mäßig im norden frisch mit starken böen an den küsten|Wie ist der Wind im Norden und an den Küsten beschrieben?|Im Norden weht der Wind schwach bis mäßig, an den Küsten jedoch frisch mit starken Böen.
07May_2011_Saturday_tagesschau-115|heute nacht fünfzehn grad am niederrhein und bis zu ein grad im osten|Wie viel Grad wird es heute Nacht am Niederrhein?|Es wird fünfzehn Grad am Niederrhein sein.
07May_2011_Saturday_tagesschau-116|am tag einundzwanzig bis achtundzwanzig grad an der ostsee bleibt es bei seewind kühler|Wie lange bleibt es kühler an der Ostsee bei Seewind?|Es bleibt kühler am Tag von einundzwanzig bis achtundzwanzig Grad.
07May_2011_Saturday_tagesschau-117|auch am montag meist sonne hier und da wolken im äußersten westen und nordwesten sind schauer und gewitter möglich|Was wird am Montag über das Wetter gesagt?|Es gibt meist Sonne, aber im äußersten Westen und Nordwesten sind Schauer und Gewitter möglich.
07May_2011_Saturday_tagesschau-118|am dienstag sonne im westen ist es ab und an wolkig mit einzelnen schauern und gewittern|Was wird am Dienstag im Westen erwartet?|Am Dienstag wird Sonne erwartet, aber es ist ab und an wolkig mit einzelnen Schauern und Gewittern.
07May_2011_Saturday_tagesschau-119|am mittwoch teils sonne teils wolken schauer und gewitter werden etwas häufiger|Was wird am Mittwoch häufiger werden?|Schauern und Gewittern.
12February_2010_Friday_tagesschau-120|und nun die wettervorhersage für morgen samstag den dreizehnten februar|Wann ist die Wettervorhersage angekündigt?|Für morgen, Samstag, den dreizehnten Februar.
12February_2010_Friday_tagesschau-121|feuchte kalte luft strömt zu uns nach deutschland|Wann strömt die feuchte kalte Luft zu uns nach Deutschland?|Die feuchte kalte Luft strömt jetzt zu uns nach Deutschland.
12February_2010_Friday_tagesschau-122|dabei lassen die schneefälle allmählich nach am sonntag schneit es kaum noch|Was passiert am Sonntag mit den Schneefällen?|Am Sonntag schneit es kaum noch.
12February_2010_Friday_tagesschau-123|in der nacht schneit es stellenweise leicht vor allem an der ostsee auch mäßig|Was schneit es in der Nacht stellenweise an der Ostsee?|In der Nacht schneit es stellenweise leicht bis mäßig.
12February_2010_Friday_tagesschau-124|vorsicht wegen straßenglätte|Was sollte man wegen der Straßenglätte tun?|Vorsicht walten lassen.
12February_2010_Friday_tagesschau-128|am tag an der see noch frischer wind|Wann war der frische Wind am Tag an der See?|Am Tag an der See war der Wind frisch.
12February_2010_Friday_tagesschau-129|heute nacht minus zwei bis minus dreizehn grad am tag im sauerland minus fünf grad an rhein und spree null grad|Welche Temperaturen sind für heute Nacht im Sauerland vorhergesagt?|Für heute Nacht sind minus zwei bis minus dreizehn Grad im Sauerland vorhergesagt.
12February_2010_Friday_tagesschau-130|die aussichten am sonntag nur örtlich etwas schnee am montag ruhiges winterwetter mancherorts scheint die sonne meist ist es aber stark bewölkt oder neblig trüb|Was sind die Wetterbedingungen am Sonntag?|Am Sonntag gibt es nur örtlich etwas Schnee.
12February_2010_Friday_tagesschau-131|am dienstag im nordwesten viele wolken die gebietsweise schnee bringen sonst ist es teilweise freundlich und trocken|„Welche Wetterbedingungen sind am Dienstag im Nordwesten zu erwarten?“|„Viele Wolken bringen gebietsweise Schnee, sonst ist es teilweise freundlich und trocken.“
01November_2010_Monday_tagesschau-132|und nun die wettervorhersage für morgen dienstag den zweiten november|Für welchen Tag ist die Wettervorhersage?|Für morgen, den Dienstag, den zweiten November.
01November_2010_Monday_tagesschau-134|im nordwesten deutschlands machen sich allerdings tiefausläufer bemerkbar die in den nächsten tagen besonders im norden für regen und wind sorgen werden|Wann werden die tiefausläufer im norden für regen und wind sorgen?|In den nächsten Tagen.
01November_2010_Monday_tagesschau-135|in der nordwesthälfte ist es heute nacht meist bedeckt sonst zeigen sich teilweise die sterne|Was wird in der nordwesthälfte der Nacht erwartet?|Meist Bedecktheit, teilweise auch Sterne.
01November_2010_Monday_tagesschau-138|abseits des nebels wird es freundlich mit sonne und wolken|Was wird abseits des Nebels sein?|Es wird freundlich mit Sonne und Wolken sein.
01November_2010_Monday_tagesschau-139|an den alpen ist es stark bewölkt hier und da fallen ein paar tropfen|Wie ist das Wetter an den Alpen zurzeit?|Es ist stark bewölkt und hier und da fallen ein paar Tropfen.
01November_2010_Monday_tagesschau-141|schwacher im norden mäßiger und an den küsten frischer wind mit starken bis stürmischen böen|Was für ein Wind herrscht im Norden laut dem Satz?|Im Norden herrscht schwacher Wind.
01November_2010_Monday_tagesschau-142|heute nacht im norden bis neun am alpenrand kühle zwei grad|Welche Temperaturen sind heute Nacht im Norden bis zum Alpenrand zu erwarten?|Es sind kühle zwei Grad zu erwarten.
01November_2010_Monday_tagesschau-143|morgen temperaturen von neun bis dreizehn am niederrhein bis vierzehn grad|Welche Temperaturen werden morgen am Niederrhein erwartet?|Temperaturen von neun bis dreizehn Grad, bis zu vierzehn Grad.
01November_2010_Monday_tagesschau-144|im norden ist es in den kommenden tagen meist stark bewölkt mit regen und windig zum teil auch stürmisch|Wie ist das Wetter im Norden in den kommenden Tagen?|Es ist meist stark bewölkt mit Regen und windig, teilweise stürmisch.
01November_2010_Monday_tagesschau-145|richtung süden deutlich freundlicher und meist trocken|Wie ist das Wetter in Richtung Süden?|Deutlich freundlicher und meist trocken.
01November_2010_Monday_tagesschau-146|dabei bleibt es sehr mild|Wie ist das Wetter dabei?|Es bleibt sehr mild.
23February_2011_Wednesday_tagesschau-147|und nun die wettervorhersage für morgen donnerstag den vierundzwanzigsten februar|Wann ist die Wettervorhersage angesagt?|Für morgen, Donnerstag, den 24. Februar.
23February_2011_Wednesday_tagesschau-148|wolken des tiefs bei island sorgen heute nacht im westen deutschlands für schnee gefrierenden regen und regen|Welche Wetterbedingungen werden heute Nacht im Westen Deutschlands erwartet?|Schnee, gefrierender Regen und Regen.
23February_2011_Wednesday_tagesschau-149|morgen werden die niederschläge schwächer und ziehen noch etwa bis zur mitte|Was wird morgen mit den Niederschlägen passieren?|Sie werden schwächer und ziehen bis zur Mitte.
23February_2011_Wednesday_tagesschau-150|der osten verbleibt unter hochdruckeinfluss|Wie lange bleibt der Osten unter Hochdruckeinfluss?|Der Osten bleibt bis auf weiteres unter Hochdruckeinfluss.
23February_2011_Wednesday_tagesschau-152|am tag im osten und ganz im südosten sonne sonst gebietsweise etwas schnee oder gefrierender regen im westlichen flachland regen|Was wird im westlichen Flachland erwartet?|Dort wird Regen erwartet.
23February_2011_Wednesday_tagesschau-153|der wind weht in der südosthälfte schwach sonst schwach bis mäßig an der nord und ostsee frischer wind|Wie weht der Wind in der Südosthälfte und an der Nord- und Ostsee?|In der Südosthälfte weht der Wind schwach, an der Nord- und Ostsee weht er meist frisch.
23February_2011_Wednesday_tagesschau-154|heute nacht minus fünfzehn grad im osten und plus zwei grad in köln|Wie hoch ist die Temperatur heute Nacht im Osten?|Minus fünfzehn Grad.
23February_2011_Wednesday_tagesschau-155|am tag bis minus vier grad im osten am niederrhein sieben grad|Welche Temperaturen werden am Tag im Osten am Niederrhein erwartet?|Es werden sieben Grad erwartet.
23February_2011_Wednesday_tagesschau-156|am freitag in der osthälfte sonne und wolken sonst regnet es vereinzelt etwas nur noch an den alpen etwas schnee|Welche Wetterbedingungen werden am Freitag in der Osthälfte beschrieben?|Am Freitag sind Sonne und Wolken in der Osthälfte, ansonsten regnet es vereinzelt etwas und nur noch an den Alpen gibt es etwas Schnee.
23February_2011_Wednesday_tagesschau-157|am samstag zieht ein regengebiet durch von nordwest nach südost im nordosten schneit es dabei teilweise|Wann zieht das Regengebiet durch?|Am Samstag.
23February_2011_Wednesday_tagesschau-158|am sonntag stellenweise etwas regen im höheren bergland schnee|Was wird am Sonntag im höheren Bergland erwartet?|Am Sonntag wird stellenweise etwas Regen und Schnee im höheren Bergland erwartet.
28November_2011_Monday_tagesschau-159|und nun die wettervorhersage für morgen dienstag den neunundzwanzigsten november|Wann ist die Wettervorhersage für morgen angesagt?|Für morgen, Dienstag, den 29. November.
28November_2011_Monday_tagesschau-160|das zentrum des hochs verlagert sich langsam weiter richtung südosten|Wohin verlagert sich das Zentrum des Hochs?|Es verlagert sich Richtung Südosten.
28November_2011_Monday_tagesschau-163|im süden und in der mitte gibt es stellenweise bereits nebelfelder die sich später weiter ausbreiten|Was passiert mit den Nebelfeldern im Süden und in der Mitte später?|Sie breiten sich weiter aus.
28November_2011_Monday_tagesschau-166|sonst häufig sonne in der nordwesthälfte aber auch einige dichte wolken|Wo wird heutzutage oft Sonne erwartet?|In der Nordwesthälfte.
28November_2011_Monday_tagesschau-167|der wind weht schwach bis mäßig in der nordwesthälfte auch frisch im nordwesten am abend stürmische böen|Wie ist der Wind am Abend in der Nordwesthälfte?|Am Abend weht der Wind stürmisch in der Nordwesthälfte.
28November_2011_Monday_tagesschau-169|am tag null grad bei dauernebel und dreizehn grad im allgäu|Was ist die Temperatur am Tag bei Dauernebel im Allgäu?|Null Grad.
28November_2011_Monday_tagesschau-170|die aussichten am mittwoch teils sonne teils wolken oder nebel hier und da regnet es etwas|Was wird am Mittwoch über das Wetter gesagt?|Am Mittwoch gibt es teils Sonne, teils Wolken oder Nebel, und hier und da regnet es etwas.
28November_2011_Monday_tagesschau-171|ab donnerstag breiten sich regenwolken allmählich weiter richtung südosten aus|Ab wann breiten sich die Regenwolken weiter aus?|Ab Donnerstag.
08May_2010_Saturday_tagesschau-174|und nun die wettervorhersage für morgen sonntag den neunten mai|Wann ist die Wettervorhersage, die genannt wird?|Für morgen, Sonntag, den neunten Mai.
08May_2010_Saturday_tagesschau-177|da die luft auch warm ist steigen auch die temperaturen ein wenig|Warum steigen die Temperaturen laut dem Satz?|Die Temperaturen steigen, weil die Luft warm ist.
08May_2010_Saturday_tagesschau-178|im norden ist es heute noch zum teil stark bewölkt hier und da fällt etwas regen|Wie ist das Wetter im Norden heute?|Heute ist es im Norden noch zum Teil stark bewölkt und hier und da fällt etwas Regen.
08May_2010_Saturday_tagesschau-179|richtung süden erst noch ein paar schauer dann teils wolkig teils klar|Was ist das Wetter im Süden nach den Schauern?|Es ist teils wolkig und teils klar.
08May_2010_Saturday_tagesschau-180|örtlich bildet sich nebel|Wann bildet sich örtlich Nebel?|Nebel bildet sich oft in der Nacht oder am frühen Morgen.
